#! FIELDS phi1 psi1 file.free der_phi1 der_psi1
#! SET min_phi1 -pi
#! SET max_phi1 pi
#! SET nbins_phi1  89
#! SET periodic_phi1 true
#! SET min_psi1 -pi
#! SET max_psi1 pi
#! SET nbins_psi1  89
#! SET periodic_psi1 true
   -0.529481908   -3.070995066 -105.554071320    2.128316967   -0.740476414
   -0.458884320   -3.070995066 -105.833606460   -9.699394123   -5.234708655
   -0.388286732   -3.070995066 -106.879492653  -19.649451703   -8.734673180
   -0.317689145   -3.070995066 -108.569973730  -28.056637889  -11.561860892
   -0.247091557   -3.070995066 -110.804993626  -35.133543903  -13.869830355
   -0.176493969   -3.070995066 -113.499211563  -41.022525747  -15.737433712
   -0.105896382   -3.070995066 -116.560344024  -45.322516527  -17.173660272
   -0.035298794   -3.070995066 -119.872047714  -48.207963570  -18.241775794
    0.035298794   -3.070995066 -123.329867023  -49.587612644  -18.772455826
    0.105896382   -3.070995066 -126.862094888  -50.286217920  -18.619158034
    0.176493969   -3.070995066 -130.421839972  -50.321775627  -17.827565960
    0.247091557   -3.070995066 -133.955387002  -49.690295249  -16.379909815
    0.317689145   -3.070995066 -137.434140624  -48.556618681  -14.530524745
    0.388286732   -3.070995066 -140.784048507  -46.387072867  -12.639856017
    0.458884320   -3.070995066 -143.964626209  -43.718857607  -10.811086214
    0.529481908   -3.070995066 -146.952592817  -40.968789599   -9.222475236
    0.600079496   -3.070995066 -149.748728379  -38.412605793   -7.594262139
    0.670677083   -3.070995066 -152.359224372  -35.530033231   -6.241001694
    0.741274671   -3.070995066 -154.745888196  -31.960089093   -4.818360126
    0.811872259   -3.070995066 -156.832941031  -26.881095855   -3.272294225
    0.882469847   -3.070995066 -158.521137178  -20.671046805   -1.933045007
    0.953067434   -3.070995066 -159.732049617  -13.562928433   -0.332884795
    1.023665022   -3.070995066 -160.441631261   -6.641522972    1.364397041
    1.094262610   -3.070995066 -160.690228338   -0.502030538    3.113575236
    1.164860197   -3.070995066 -160.539698572    4.656653553    4.597527191
    1.235457785   -3.070995066 -160.044112338    9.227544072    5.995115459
    1.306055373   -3.070995066 -159.264772933   12.680109828    7.363040735
    1.376652961   -3.070995066 -158.272150324   15.272263728    8.519805769
    1.447250548   -3.070995066 -157.133607738   16.903706534    9.712179778
    1.517848136   -3.070995066 -155.888652287   18.309379700   10.598252084
    1.588445724   -3.070995066 -154.539966061   19.930896377   11.389612948
    1.659043311   -3.070995066 -153.103230306   20.718287785   11.656976429
    1.729640899   -3.070995066 -151.631028542   20.744575432   11.671077054
    1.800238487   -3.070995066 -150.205330216   19.424268673   11.459636277
    1.870836075   -3.070995066 -148.911159670   17.204018645   10.935302437
    1.941433662   -3.070995066 -147.781053282   15.044555621   10.270846221
    2.012031250   -3.070995066 -146.769170912   13.924225599    9.853324964
    2.082628838   -3.070995066 -145.786763734   14.279700891    9.231441129
    2.153226425   -3.070995066 -144.746314311   15.315377425    9.060731593
    2.223824013   -3.070995066 -143.606116879   17.051912652    9.232810812
    2.294421601   -3.070995066 -142.337515936   18.943730332    9.832261083
    2.365019189   -3.070995066 -140.934595598   20.838064784   10.302624522
